dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2016-11-07,0.0,500,Cal,0,0,0,30,0,12
2016-11-08,104.0,500,Cal,0,0,12,30,2,12
2016-11-09,844.0,500,Cal,0,0,164,30,15,12
2016-11-10,717.0,500,Cal,0,0,127,30,15,12
2016-11-11,418.0,500,Cal,0,0,57,30,14,12
2016-11-12,1009.0,500,Cal,0,0,185,30,13,12
2016-11-13,734.0,500,Cal,0,0,130,30,13,12
2016-11-14,579.0,450,Cal,0,0,98,30,13,12
2016-11-15,617.0,450,Cal,0,0,104,30,15,12
2016-11-16,696.0,450,Cal,0,0,129,30,12,12
2016-11-17,936.0,450,Cal,0,0,190,30,13,12
2016-11-18,689.0,450,Cal,0,0,117,30,14,12
2016-11-19,447.0,450,Cal,0,0,39,30,14,12
2016-11-20,908.0,450,Cal,0,0,152,30,15,12
2016-11-21,592.0,490,Cal,0,0,60,30,11,12
2016-11-22,655.0,490,Cal,0,0,123,30,12,12
2016-11-23,273.0,490,Cal,0,0,16,30,12,12
2016-11-24,358.0,490,Cal,0,0,30,30,12,12
2016-11-25,330.0,490,Cal,0,0,30,30,15,12
2016-11-26,303.0,490,Cal,0,0,19,30,14,12
2016-11-27,521.0,490,Cal,0,0,79,30,13,12
2016-11-28,498.0,440,Cal,0,0,82,30,11,12
2016-11-29,373.0,440,Cal,0,0,70,30,11,12
2016-11-30,516.0,440,Cal,0,0,94,30,12,12
2016-12-01,621.0,440,Cal,0,0,107,30,14,12
2016-12-02,444.0,440,Cal,0,0,58,30,12,12
2016-12-03,573.0,440,Cal,0,0,89,30,12,12
2016-12-04,451.0,440,Cal,0,0,65,30,11,12
2016-12-05,664.0,440,Cal,0,0,110,30,14,12
2016-12-06,673.0,440,Cal,0,0,94,30,12,12
2016-12-07,445.0,440,Cal,0,0,59,30,12,12
2016-12-08,771.0,440,Cal,0,0,158,30,14,12
2016-12-09,733.0,440,Cal,0,0,138,30,13,12
2016-12-10,435.0,440,Cal,0,0,59,30,12,12
2016-12-11,213.0,440,Cal,0,0,10,30,9,12
2016-12-12,492.0,440,Cal,0,0,86,30,13,12
2016-12-13,596.0,440,Cal,0,0,71,30,14,12
2016-12-14,556.0,440,Cal,0,0,73,30,14,12
2016-12-15,562.0,440,Cal,0,0,73,30,14,12
2016-12-16,637.0,440,Cal,0,0,94,30,15,12
2016-12-17,490.0,440,Cal,0,0,75,30,11,12
2016-12-18,470.0,440,Cal,0,0,84,30,10,12
2016-12-19,596.0,480,Cal,0,0,115,30,13,12
2016-12-20,306.0,480,Cal,0,0,45,30,10,12
2016-12-21,443.0,480,Cal,0,0,53,30,14,12
2016-12-22,414.0,480,Cal,0,0,66,30,13,12
2016-12-23,353.0,480,Cal,0,0,25,30,16,12
2016-12-24,441.0,480,Cal,0,0,58,30,14,12
2016-12-25,351.0,480,Cal,0,0,52,30,11,12
2016-12-26,300.0,480,Cal,0,0,34,30,13,12
2016-12-27,275.0,480,Cal,0,0,26,30,13,12
2016-12-28,243.0,480,Cal,0,0,14,30,14,12
2016-12-29,367.0,480,Cal,0,0,45,30,15,12
2016-12-30,291.0,480,Cal,0,0,26,30,14,12
2016-12-31,268.0,480,Cal,0,0,16,30,14,12
2017-01-01,200.0,480,Cal,0,0,14,30,14,12
2017-01-02,387.0,430,Cal,0,0,37,30,14,12
2017-01-03,354.0,430,Cal,0,0,52,30,11,12
2017-01-04,391.0,430,Cal,0,0,51,30,13,12
2017-01-05,489.0,430,Cal,0,0,65,30,16,12
2017-01-06,551.0,430,Cal,0,0,56,30,18,12
2017-01-07,513.0,430,Cal,0,0,67,30,16,12
2017-01-08,526.0,430,Cal,0,0,80,30,14,12
2017-01-09,426.0,430,Cal,0,0,61,30,13,12
2017-01-10,419.0,430,Cal,0,0,65,30,12,12
2017-01-11,553.0,430,Cal,0,0,94,30,15,12
2017-01-12,569.0,430,Cal,0,0,86,30,15,12
2017-01-13,441.0,430,Cal,0,0,67,30,11,12
2017-01-14,497.0,430,Cal,0,0,84,30,11,12
2017-01-15,285.0,430,Cal,0,0,42,30,10,12
2017-01-16,364.0,380,Cal,0,0,68,30,9,12
2017-01-17,207.0,380,Cal,0,0,17,30,10,12
2017-01-18,348.0,380,Cal,0,0,35,30,14,12
2017-01-19,245.0,380,Cal,0,0,19,30,11,12
2017-01-20,290.0,380,Cal,0,0,31,30,13,12
2017-01-21,543.0,380,Cal,0,0,97,30,13,12
2017-01-22,307.0,380,Cal,0,0,31,30,10,12
2017-01-23,265.0,380,Cal,0,0,36,30,9,12
2017-01-24,257.0,380,Cal,0,0,21,30,10,12
2017-01-25,352.0,380,Cal,0,0,49,30,14,12
2017-01-26,572.0,380,Cal,0,0,96,30,13,12
2017-01-27,324.0,380,Cal,0,0,39,30,13,12
2017-01-28,415.0,380,Cal,0,0,49,30,13,12
2017-01-29,601.0,380,Cal,0,0,98,30,13,12
2017-01-30,383.0,340,Cal,0,0,55,30,10,12
2017-01-31,452.0,340,Cal,0,0,56,30,16,12
2017-02-01,637.0,340,Cal,0,0,102,30,14,12
2017-02-02,444.0,340,Cal,0,0,38,30,16,12
2017-02-03,343.0,340,Cal,0,0,19,30,15,12
2017-02-04,307.0,340,Cal,0,0,23,30,15,12
2017-02-05,599.0,340,Cal,0,0,103,30,12,12
2017-02-06,317.0,340,Cal,0,0,25,30,13,12
2017-02-07,458.0,340,Cal,0,0,55,30,13,12
2017-02-08,462.0,340,Cal,0,0,59,30,14,12
2017-02-09,462.0,340,Cal,0,0,60,30,15,12
2017-02-10,475.0,340,Cal,0,0,79,30,11,12
2017-02-11,558.0,340,Cal,0,0,90,30,14,12
2017-02-12,182.0,340,Cal,0,0,2,30,9,12
2017-02-13,255.0,340,Cal,0,0,22,30,9,12
2017-02-14,359.0,340,Cal,0,0,61,30,9,12
2017-02-15,344.0,340,Cal,0,0,35,30,12,12
2017-02-16,783.0,340,Cal,0,0,143,30,12,12
2017-02-17,572.0,340,Cal,0,0,94,30,11,12
2017-02-18,428.0,340,Cal,0,0,68,30,7,12
2017-02-19,264.0,340,Cal,0,0,16,30,10,12
2017-02-20,522.0,340,Cal,0,0,72,30,13,12
2017-02-21,606.0,340,Cal,0,0,105,30,12,12
2017-02-22,599.0,340,Cal,0,0,95,30,14,12
2017-02-23,594.0,340,Cal,0,0,85,30,14,12
2017-02-24,592.0,340,Cal,0,0,105,30,14,12
2017-02-25,431.0,340,Cal,0,0,55,30,12,12
2017-02-26,724.0,340,Cal,0,0,118,30,13,12
2017-02-27,522.0,340,Cal,0,0,72,30,13,12
2017-02-28,440.0,340,Cal,0,0,59,30,13,12
2017-03-01,614.0,340,Cal,0,0,103,30,13,12
2017-03-02,691.0,340,Cal,0,0,124,30,14,12
2017-03-03,709.0,340,Cal,0,0,124,30,13,12
2017-03-04,414.0,340,Cal,0,0,69,30,14,12
2017-03-05,555.0,340,Cal,0,0,74,30,13,12
2017-03-06,720.0,370,Cal,0,0,125,30,16,12
2017-03-07,567.0,370,Cal,0,0,100,30,15,12
2017-03-08,722.0,370,Cal,0,0,119,30,15,12
2017-03-09,762.0,370,Cal,0,0,130,30,14,12
2017-03-10,574.0,370,Cal,0,0,102,30,13,12
2017-03-11,483.0,370,Cal,0,0,72,30,13,12
2017-03-12,364.0,370,Cal,0,0,41,30,12,12
2017-03-13,491.0,370,Cal,0,0,74,30,10,12
2017-03-14,320.0,370,Cal,0,0,38,30,13,12
2017-03-15,544.0,370,Cal,0,0,75,30,11,12
2017-03-16,699.0,370,Cal,0,0,126,30,13,12
2017-03-17,381.0,370,Cal,0,0,29,30,10,12
2017-03-18,625.0,370,Cal,0,0,107,30,12,12
2017-03-19,305.0,370,Cal,0,0,44,30,11,12
2017-03-20,356.0,370,Cal,0,0,39,30,12,12
2017-03-21,593.0,370,Cal,0,0,90,30,16,12
2017-03-22,597.0,370,Cal,0,0,88,30,14,12
2017-03-23,637.0,370,Cal,0,0,84,30,14,12
2017-03-24,312.0,370,Cal,0,0,22,30,13,12
2017-03-25,279.0,370,Cal,0,0,20,30,11,12
2017-03-26,332.0,370,Cal,0,0,36,30,12,12
2017-03-27,788.0,370,Cal,0,0,147,30,12,12
2017-03-28,690.0,370,Cal,0,0,125,30,13,12
2017-03-29,653.0,370,Cal,0,0,104,30,14,12
2017-03-30,413.0,370,Cal,0,0,49,30,13,12
2017-03-31,421.0,370,Cal,0,0,47,30,9,12
2017-04-01,707.0,370,Cal,0,0,127,30,16,12
2017-04-02,741.0,370,Cal,0,0,146,30,12,12
2017-04-03,528.0,370,Cal,0,0,85,30,13,12
2017-04-04,613.0,370,Cal,0,0,113,30,13,12
2017-04-05,592.0,370,Cal,0,0,84,30,12,12
2017-04-06,465.0,370,Cal,0,0,50,30,14,12
2017-04-07,522.0,370,Cal,0,0,59,30,16,12
2017-04-08,328.0,370,Cal,0,0,23,30,14,12
2017-04-09,375.0,370,Cal,0,0,28,30,13,12
2017-04-10,370.0,370,Cal,0,0,48,30,12,12
2017-04-11,560.0,370,Cal,0,0,94,30,15,12
2017-04-12,629.0,370,Cal,0,0,117,30,15,12
2017-04-13,646.0,370,Cal,0,0,88,30,15,12
2017-04-14,496.0,370,Cal,0,0,67,30,13,12
2017-04-15,772.0,370,Cal,0,0,135,30,13,12
2017-04-16,623.0,370,Cal,0,0,109,30,14,12
2017-04-17,564.0,400,Cal,0,0,79,30,15,12
2017-04-18,617.0,400,Cal,0,0,94,30,16,12
2017-04-19,437.0,400,Cal,0,0,58,30,12,12
2017-04-20,521.0,400,Cal,0,0,70,30,15,12
2017-04-21,778.0,400,Cal,0,0,148,30,15,12
2017-04-22,553.0,400,Cal,0,0,91,30,11,12
2017-04-23,687.0,400,Cal,0,0,122,30,14,12
2017-04-24,469.0,440,Cal,0,0,37,30,14,12
2017-04-25,920.0,440,Cal,0,0,158,30,18,12
2017-04-26,394.0,440,Cal,0,0,37,30,11,12
2017-04-27,553.0,440,Cal,0,0,73,30,16,12
2017-04-28,457.0,440,Cal,0,0,49,30,13,12
2017-04-29,419.0,440,Cal,0,0,35,30,14,12
2017-04-30,547.0,440,Cal,0,0,98,30,12,12
2017-05-01,741.0,480,Cal,0,0,120,30,17,12
